gene_id,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8
GENE055,205,197,146,136,105,107,93,81
GENE056,201,182,165,143,116,98,78,79
GENE057,189,180,149,143,121,104,95,72
GENE058,188,196,149,138,112,102,81,73
GENE059,193,192,162,147,117,100,81,83
GENE060,203,184,155,143,106,103,95,70
GENE061,197,196,152,146,114,97,90,76
GENE062,188,178,149,131,102,112,81,83
GENE063,201,183,163,146,112,100,79,67
GENE064,191,193,152,142,112,106,94,82
GENE065,197,178,155,133,102,110,82,79
GENE066,197,196,146,137,105,103,87,79
GENE067,193,196,157,144,119,103,97,65
GENE068,193,182,157,135,116,103,97,81
GENE069,201,186,152,145,104,101,78,64
GENE070,189,185,148,133,117,110,86,71
GENE071,199,182,155,134,103,112,84,65
GENE072,202,179,161,148,111,111,87,65
GENE073,191,192,159,132,104,107,83,81
GENE074,191,183,166,130,121,116,87,84
GENE075,206,180,162,146,103,103,79,78
GENE076,191,180,164,147,117,111,94,65
GENE077,200,192,148,140,116,115,86,71
GENE078,196,192,155,129,104,111,96,64
GENE079,189,183,152,140,110,105,93,75
GENE080,200,194,164,135,111,112,83,64
GENE081,194,187,166,131,112,100,86,66
GENE082,192,188,160,134,121,107,88,74
GENE083,205,181,152,145,122,110,88,72
GENE084,194,193,164,143,108,112,86,67
GENE085,206,192,151,139,104,101,89,67
GENE086,192,177,163,135,111,98,81,69
GENE087,189,178,164,135,118,97,83,69
GENE088,204,182,150,132,121,113,89,77
GENE089,193,191,161,129,122,112,91,71
GENE090,207,177,154,139,105,109,81,82
GENE091,204,194,162,139,121,117,82,82
GENE092,201,197,150,143,109,115,83,81
GENE093,198,190,158,133,109,112,83,64
GENE094,193,180,150,144,109,97,89,79
GENE095,195,184,155,137,114,107,82,74
GENE096,198,190,166,146,106,113,97,68
GENE097,190,179,166,129,121,116,83,73
GENE098,200,194,153,139,113,117,91,81
GENE099,201,192,156,145,103,113,88,69
GENE100,200,184,158,140,112,101,83,82
GENE101,203,190,147,143,105,106,86,75
GENE102,191,195,158,135,119,108,89,68
GENE103,190,184,146,136,115,110,83,68
GENE104,203,189,155,133,120,110,88,77
GENE105,197,188,155,132,110,106,98,83
GENE106,192,190,153,141,119,107,93,73
GENE107,208,184,151,141,113,100,78,73
GENE108,189,192,166,141,109,101,89,84
GENE109,191,178,150,132,107,101,85,78
GENE110,207,181,150,134,117,110,96,79
GENE111,199,182,150,148,118,106,86,67
GENE112,196,181,147,141,105,117,90,78
GENE113,208,196,163,132,118,115,97,81
GENE114,198,190,147,143,117,102,80,76
GENE115,196,180,148,134,110,110,86,71
GENE116,197,191,158,138,103,104,86,82
GENE117,193,187,160,134,115,98,96,81
GENE118,190,185,158,144,121,104,86,70
GENE119,207,196,162,129,120,104,98,70
GENE120,199,193,159,146,111,110,97,71
GENE121,86,110,121,111,96,86,134,110
GENE122,84,92,120,118,92,90,140,119
GENE123,89,100,115,113,84,82,143,125
GENE124,87,96,104,121,100,89,137,117
GENE125,90,101,104,129,104,97,127,120
GENE126,84,93,108,124,97,89,134,118
GENE127,90,96,103,118,93,77,133,124
GENE128,97,104,119,124,96,93,146,114
GENE129,87,103,117,121,93,96,137,120
GENE130,89,94,106,123,95,96,127,121
GENE131,81,98,120,131,92,91,138,121
GENE132,100,102,109,119,94,92,128,112
GENE133,92,100,104,114,102,79,137,129
GENE134,99,94,106,122,96,89,137,127
GENE135,97,91,105,118,97,77,128,125
GENE136,91,109,101,126,88,86,143,113
GENE137,100,101,105,129,84,91,138,116
GENE138,80,96,101,129,103,95,143,121
GENE139,99,96,119,123,98,77,143,130
GENE140,94,93,119,130,86,85,143,117
GENE141,97,95,115,128,97,83,126,117
GENE142,87,96,113,118,86,77,130,130
GENE143,91,106,113,111,88,96,126,115
GENE144,96,97,116,115,93,78,128,120
GENE145,83,96,101,124,87,83,146,119
GENE146,93,101,120,116,99,86,133,128
GENE147,88,100,108,114,89,90,127,129
GENE148,88,90,107,122,96,94,145,114
GENE149,99,93,120,127,91,78,137,117
GENE150,100,97,108,127,94,90,137,121
GENE151,96,107,115,113,99,89,141,111
GENE152,81,106,107,129,96,86,138,118
GENE153,99,99,110,111,99,82,133,112
GENE154,87,105,116,123,98,83,131,122
GENE155,80,107,105,120,89,84,135,117
GENE156,87,92,110,129,84,84,127,117
GENE157,99,97,119,120,85,84,143,126
GENE158,89,97,117,131,84,86,132,122
GENE159,80,98,104,119,103,87,139,129
GENE160,100,107,105,124,98,96,133,110
GENE161,98,96,118,130,95,79,126,123
GENE162,99,93,117,113,101,84,132,112
GENE163,90,103,102,125,87,84,141,129
GENE164,98,94,105,113,91,79,141,114
GENE165,83,108,119,121,91,77,127,118
GENE166,80,106,120,128,94,83,142,124
GENE167,95,99,120,112,93,89,130,118
GENE168,82,108,118,112,90,93,143,124
GENE169,99,101,121,126,90,80,138,115
GENE170,82,92,115,127,97,85,131,121
GENE171,83,106,102,112,89,80,136,120
GENE172,98,105,115,122,100,90,132,130
GENE173,88,91,114,127,101,92,141,122
GENE174,99,103,103,111,84,83,135,125
GENE175,89,97,113,115,99,84,146,124
GENE176,86,90,121,131,99,85,136,129
GENE177,97,102,102,112,102,87,146,116
GENE178,95,101,104,116,103,93,133,126
GENE179,90,100,106,128,90,81,138,116
GENE180,99,109,110,117,98,95,140,117
GENE181,80,104,112,124,84,80,128,120
GENE182,80,106,103,117,100,86,134,127
GENE183,91,106,102,127,102,85,128,128
GENE184,85,95,118,121,84,86,137,128
GENE185,96,107,111,120,100,90,138,116
GENE186,97,106,110,116,89,78,140,128
GENE187,90,90,116,118,87,93,126,126
GENE188,91,98,108,115,99,79,127,111
GENE189,82,99,119,130,87,80,130,117
GENE190,91,103,113,123,99,95,130,113
GENE191,98,103,112,129,84,95,142,116
GENE192,80,109,107,114,92,79,136,129
GENE193,81,91,117,114,85,77,143,115
GENE194,86,98,113,118,102,81,139,113
GENE195,82,107,106,127,88,92,137,122
GENE196,94,110,108,117,85,83,135,116
GENE197,98,108,104,115,87,85,128,123
GENE198,84,104,113,114,90,85,138,127
GENE199,84,91,105,129,100,79,143,119
GENE200,96,94,112,119,95,83,131,125
GENE201,88,98,108,115,99,80,136,123
GENE202,85,99,112,121,86,90,128,127
GENE203,96,103,110,127,93,95,134,130
GENE204,95,102,121,114,97,96,126,130
GENE205,97,96,105,124,102,89,126,113
GENE206,87,109,119,113,91,96,140,122
GENE207,91,90,110,129,89,78,135,123
GENE208,98,97,114,128,94,83,132,122
GENE209,93,98,101,120,89,94,140,110
GENE210,92,101,120,120,102,83,141,124
GENE211,94,94,115,116,103,78,126,118
GENE212,88,109,118,111,104,83,138,117
GENE213,81,97,111,122,91,84,141,121
GENE214,84,104,112,123,86,96,138,116
GENE215,95,108,110,121,104,83,145,116
GENE216,100,108,112,118,87,97,141,116
GENE217,99,109,113,127,99,87,132,114
GENE218,87,91,102,130,84,87,142,110
GENE219,91,101,104,125,85,94,127,121
GENE220,96,101,109,117,102,94,132,118
GENE221,83,109,106,117,86,95,141,113
GENE222,100,103,102,127,103,89,133,130
GENE223,86,105,121,120,95,80,139,114
GENE224,100,96,116,115,104,96,137,129
GENE225,90,105,121,122,92,89,130,128
GENE226,82,90,108,111,100,82,139,115
GENE227,86,103,120,113,93,81,134,117
GENE228,80,104,117,124,84,92,128,115
GENE229,92,105,105,118,87,81,142,122
GENE230,96,101,111,121,85,92,129,115
GENE231,93,100,106,121,97,80,142,117
GENE232,83,105,114,124,103,81,132,116
GENE233,81,107,107,118,93,80,131,124
GENE234,86,91,101,118,87,89,142,114
GENE235,100,98,119,113,90,93,133,126
GENE236,91,96,108,111,98,94,134,119
GENE237,85,105,119,123,92,81,129,116
GENE238,91,95,121,122,104,89,131,129
GENE239,82,92,118,122,94,79,126,128
GENE240,97,106,102,119,102,80,130,117
GENE241,68,85,92,111,162,168,141,158
GENE242,75,69,101,96,165,170,141,173
GENE243,76,84,98,104,165,171,135,159
GENE244,74,77,96,100,158,164,149,163
GENE245,73,86,92,115,157,170,147,176
GENE246,85,86,100,115,151,161,139,168
GENE247,78,68,100,104,163,165,140,159
GENE248,86,85,95,100,147,177,144,174
GENE249,81,87,107,97,149,175,129,158
GENE250,86,72,103,105,157,174,134,175
GENE251,85,78,94,95,164,165,129,171
GENE252,68,78,99,115,158,164,145,168
GENE253,71,69,96,102,157,177,137,161
GENE254,76,87,109,111,159,172,140,166
GENE255,83,81,107,95,164,167,143,167
GENE256,70,77,104,114,162,175,146,159
GENE257,74,68,93,102,151,169,147,176
GENE258,82,70,96,98,160,164,140,157
GENE259,88,73,102,104,150,170,142,169
GENE260,85,82,105,103,163,170,142,173
GENE261,69,80,91,110,160,163,131,165
GENE262,69,69,93,108,159,176,144,174
GENE263,77,83,95,99,163,167,136,172
GENE264,77,88,102,112,147,173,140,162
GENE265,82,70,92,108,155,174,145,164
GENE266,84,81,108,115,163,163,136,173
GENE267,84,76,103,104,154,167,141,172
GENE268,87,71,104,104,166,162,138,164
GENE269,84,78,104,107,166,175,145,160
GENE270,72,87,95,114,146,162,140,166
GENE271,76,86,99,102,156,173,142,174
GENE272,71,83,100,110,159,177,146,171
GENE273,81,68,102,100,159,173,132,165
GENE274,81,72,90,111,148,166,134,169
GENE275,74,88,97,110,149,169,147,167
GENE276,75,84,107,104,146,163,149,175
GENE277,84,83,107,113,159,175,135,166
GENE278,81,86,105,103,158,163,143,172
GENE279,69,85,93,113,163,172,132,177
GENE280,77,72,103,114,157,174,137,170
GENE281,88,75,99,111,146,175,140,169
GENE282,74,72,90,104,155,159,130,163
GENE283,72,69,102,112,155,168,148,163
GENE284,86,68,95,104,160,165,130,161
GENE285,82,84,101,95,149,159,145,158
GENE286,73,80,93,115,160,175,141,171
GENE287,86,70,105,95,153,158,129,173
GENE288,69,82,94,96,156,161,135,175
GENE289,80,71,96,98,153,158,136,177
GENE290,69,71,89,111,152,168,135,157
GENE291,78,86,95,114,153,177,142,160
GENE292,68,72,100,103,165,177,149,163
GENE293,83,76,94,98,163,157,135,164
GENE294,73,77,91,101,155,177,141,167
GENE295,86,85,105,109,160,163,142,164
GENE296,74,72,90,104,149,173,138,164
GENE297,84,77,95,113,157,172,139,165
GENE298,74,85,99,112,146,168,129,171
GENE299,83,88,91,99,163,163,132,163
GENE300,83,72,99,107,161,159,148,173
GENE301,72,82,100,95,155,173,131,160
GENE302,74,73,92,105,153,172,149,161
GENE303,86,88,89,112,148,159,145,169
GENE304,70,78,105,103,156,162,147,158
GENE305,85,69,104,96,153,175,131,158
GENE306,75,71,98,115,158,166,140,168
GENE307,83,71,99,100,155,165,146,158
GENE308,83,75,102,115,160,160,146,172
GENE309,73,68,98,113,161,160,136,174
GENE310,77,70,100,96,159,171,145,166
GENE311,75,86,104,105,157,159,132,176
GENE312,69,72,106,97,156,164,146,173
GENE313,82,77,93,103,161,159,139,165
GENE314,86,69,108,104,159,159,135,159
GENE315,85,81,91,99,155,162,146,170
GENE316,84,79,107,109,161,165,136,172
GENE317,76,72,107,96,155,164,132,173
GENE318,75,85,93,102,153,174,135,172
GENE319,87,76,104,100,162,173,143,158
GENE320,81,86,104,108,162,169,136,174
GENE321,71,83,91,114,164,163,143,159
GENE322,86,83,94,96,159,170,132,173
GENE323,77,75,90,106,164,167,141,170
GENE324,82,87,94,100,162,157,130,176
GENE325,75,76,94,106,154,175,130,176
GENE326,80,81,97,107,160,169,130,164
GENE327,75,68,98,112,146,168,132,170
GENE328,85,72,104,103,147,157,137,172
GENE329,72,78,100,96,148,166,129,159
GENE330,68,87,108,115,151,177,139,169
GENE331,76,83,95,113,155,159,134,172
GENE332,82,82,91,96,153,160,140,165
GENE333,78,79,109,113,150,163,130,167
GENE334,72,85,104,95,166,160,145,177
GENE335,75,82,89,98,151,163,142,174
GENE336,79,85,89,99,147,159,132,165
GENE337,81,69,109,109,149,162,149,172
GENE338,77,72,107,95,159,162,141,169
GENE339,83,85,90,113,158,176,147,177
GENE340,71,73,105,110,163,162,134,162
GENE341,85,69,97,100,158,169,130,171
GENE342,75,72,97,97,149,162,130,162
GENE343,74,87,108,107,146,158,129,170
GENE344,85,71,93,110,160,158,144,160
GENE345,73,88,95,112,161,173,141,176
GENE346,86,88,96,111,147,166,144,169
GENE347,87,82,104,98,156,171,135,169
GENE348,74,76,109,106,165,169,129,162
GENE349,79,84,100,111,163,177,142,160
GENE350,84,68,97,104,150,170,142,169
GENE351,76,81,106,111,146,158,134,161
GENE352,68,71,98,96,146,157,136,172
GENE353,78,78,107,105,158,177,149,169
GENE354,84,68,92,96,162,165,139,173
GENE355,77,79,89,103,165,162,139,168
GENE356,75,80,107,112,152,174,134,159
GENE357,88,74,96,107,158,173,135,161
GENE358,84,83,96,95,155,176,136,158
GENE359,70,70,106,101,160,164,144,177
GENE360,87,83,91,98,157,158,133,172
