gene_id,Cancer,Immune,Stroma
GENE142,1.1,9.6,1.3
GENE143,1.1,9.6,1.3
GENE144,1.1,9.6,1.3
GENE145,1.1,9.6,1.3
GENE146,1.1,9.6,1.3
GENE147,1.1,9.6,1.3
GENE148,1.1,9.6,1.3
GENE149,1.1,9.6,1.3
GENE150,1.1,9.6,1.3
GENE151,1.1,9.6,1.3
GENE152,1.1,9.6,1.3
GENE153,1.1,9.6,1.3
GENE154,1.1,9.6,1.3
GENE155,1.1,9.6,1.3
GENE156,1.1,9.6,1.3
GENE157,1.1,9.6,1.3
GENE158,1.1,9.6,1.3
GENE159,1.1,9.6,1.3
GENE160,1.1,9.6,1.3
GENE161,1.1,9.6,1.3
GENE162,1.1,9.6,1.3
GENE163,1.1,9.6,1.3
GENE164,1.1,9.6,1.3
GENE165,1.1,9.6,1.3
GENE166,1.1,9.6,1.3
GENE167,1.1,9.6,1.3
GENE168,1.1,9.6,1.3
GENE169,1.1,9.6,1.3
GENE170,1.1,9.6,1.3
GENE171,1.1,9.6,1.3
GENE172,1.1,9.6,1.3
GENE173,1.1,9.6,1.3
GENE174,1.1,9.6,1.3
GENE175,1.1,9.6,1.3
GENE176,1.1,9.6,1.3
GENE177,1.1,9.6,1.3
GENE178,1.1,9.6,1.3
GENE179,1.1,9.6,1.3
GENE180,1.1,9.6,1.3
GENE181,1.1,9.6,1.3
GENE182,1.1,9.6,1.3
GENE183,1.1,9.6,1.3
GENE184,1.1,9.6,1.3
GENE185,1.1,9.6,1.3
GENE186,1.1,9.6,1.3
GENE187,1.1,9.6,1.3
GENE188,1.1,9.6,1.3
GENE189,1.1,9.6,1.3
GENE190,1.1,9.6,1.3
GENE191,1.1,9.6,1.3
GENE192,1.1,9.6,1.3
GENE193,1.1,9.6,1.3
GENE194,1.1,9.6,1.3
GENE195,1.1,9.6,1.3
GENE196,1.1,9.6,1.3
GENE197,1.1,9.6,1.3
GENE198,1.1,9.6,1.3
GENE199,1.1,9.6,1.3
GENE200,1.1,9.6,1.3
GENE201,1.1,9.6,1.3
GENE202,1.1,9.6,1.3
GENE203,1.1,9.6,1.3
GENE204,1.1,9.6,1.3
GENE205,1.1,9.6,1.3
GENE206,1.1,9.6,1.3
GENE207,1.1,9.6,1.3
GENE208,1.1,9.6,1.3
GENE209,1.1,9.6,1.3
GENE210,1.1,9.6,1.3
GENE211,1.1,9.6,1.3
GENE212,1.1,9.6,1.3
GENE213,1.1,9.6,1.3
GENE214,1.1,9.6,1.3
GENE215,1.1,9.6,1.3
GENE216,1.1,9.6,1.3
GENE217,1.1,9.6,1.3
GENE218,1.1,9.6,1.3
GENE219,1.1,9.6,1.3
GENE220,1.1,9.6,1.3
GENE221,1.1,9.6,1.3
GENE222,1.1,9.6,1.3
GENE223,1.1,9.6,1.3
GENE224,1.1,9.6,1.3
GENE225,1.1,9.6,1.3
GENE226,1.1,9.6,1.3
GENE227,1.1,9.6,1.3
GENE228,1.1,9.6,1.3
GENE229,1.1,9.6,1.3
GENE230,1.1,9.6,1.3
GENE231,1.1,9.6,1.3
GENE232,1.1,9.6,1.3
GENE233,1.1,9.6,1.3
GENE234,1.1,9.6,1.3
GENE235,1.1,9.6,1.3
GENE236,1.1,9.6,1.3
GENE237,1.1,9.6,1.3
GENE238,1.1,9.6,1.3
GENE239,1.1,9.6,1.3
GENE240,1.1,9.6,1.3
GENE241,1.0,1.4,9.7
GENE242,1.0,1.4,9.7
GENE243,1.0,1.4,9.7
GENE244,1.0,1.4,9.7
GENE245,1.0,1.4,9.7
GENE246,1.0,1.4,9.7
GENE247,1.0,1.4,9.7
GENE248,1.0,1.4,9.7
GENE249,1.0,1.4,9.7
GENE250,1.0,1.4,9.7
GENE251,1.0,1.4,9.7
GENE252,1.0,1.4,9.7
GENE253,1.0,1.4,9.7
GENE254,1.0,1.4,9.7
GENE255,1.0,1.4,9.7
GENE256,1.0,1.4,9.7
GENE257,1.0,1.4,9.7
GENE258,1.0,1.4,9.7
GENE259,1.0,1.4,9.7
GENE260,1.0,1.4,9.7
GENE261,1.0,1.4,9.7
GENE262,1.0,1.4,9.7
GENE263,1.0,1.4,9.7
GENE264,1.0,1.4,9.7
GENE265,1.0,1.4,9.7
GENE266,1.0,1.4,9.7
GENE267,1.0,1.4,9.7
GENE268,1.0,1.4,9.7
GENE269,1.0,1.4,9.7
GENE270,1.0,1.4,9.7
GENE271,1.0,1.4,9.7
GENE272,1.0,1.4,9.7
GENE273,1.0,1.4,9.7
GENE274,1.0,1.4,9.7
GENE275,1.0,1.4,9.7
GENE276,1.0,1.4,9.7
GENE277,1.0,1.4,9.7
GENE278,1.0,1.4,9.7
GENE279,1.0,1.4,9.7
GENE280,1.0,1.4,9.7
GENE281,1.0,1.4,9.7
GENE282,1.0,1.4,9.7
GENE283,1.0,1.4,9.7
GENE284,1.0,1.4,9.7
GENE285,1.0,1.4,9.7
GENE286,1.0,1.4,9.7
GENE287,1.0,1.4,9.7
GENE288,1.0,1.4,9.7
GENE289,1.0,1.4,9.7
GENE290,1.0,1.4,9.7
GENE291,1.0,1.4,9.7
GENE292,1.0,1.4,9.7
GENE293,1.0,1.4,9.7
GENE294,1.0,1.4,9.7
GENE295,1.0,1.4,9.7
GENE296,1.0,1.4,9.7
GENE297,1.0,1.4,9.7
GENE298,1.0,1.4,9.7
GENE299,1.0,1.4,9.7
GENE300,1.0,1.4,9.7
GENE301,1.0,1.4,9.7
GENE302,1.0,1.4,9.7
GENE303,1.0,1.4,9.7
GENE304,1.0,1.4,9.7
GENE305,1.0,1.4,9.7
GENE306,1.0,1.4,9.7
GENE307,1.0,1.4,9.7
GENE308,1.0,1.4,9.7
GENE309,1.0,1.4,9.7
GENE310,1.0,1.4,9.7
GENE311,1.0,1.4,9.7
GENE312,1.0,1.4,9.7
GENE313,1.0,1.4,9.7
GENE314,1.0,1.4,9.7
GENE315,1.0,1.4,9.7
GENE316,1.0,1.4,9.7
GENE317,1.0,1.4,9.7
GENE318,1.0,1.4,9.7
GENE319,1.0,1.4,9.7
GENE320,1.0,1.4,9.7
GENE321,1.0,1.4,9.7
GENE322,1.0,1.4,9.7
GENE323,1.0,1.4,9.7
GENE324,1.0,1.4,9.7
GENE325,1.0,1.4,9.7
GENE326,1.0,1.4,9.7
GENE327,1.0,1.4,9.7
GENE328,1.0,1.4,9.7
GENE329,1.0,1.4,9.7
GENE330,1.0,1.4,9.7
GENE331,1.0,1.4,9.7
GENE332,1.0,1.4,9.7
GENE333,1.0,1.4,9.7
GENE334,1.0,1.4,9.7
GENE335,1.0,1.4,9.7
GENE336,1.0,1.4,9.7
GENE337,1.0,1.4,9.7
GENE338,1.0,1.4,9.7
GENE339,1.0,1.4,9.7
GENE340,1.0,1.4,9.7
GENE341,1.0,1.4,9.7
GENE342,1.0,1.4,9.7
GENE343,1.0,1.4,9.7
GENE344,1.0,1.4,9.7
GENE345,1.0,1.4,9.7
GENE346,1.0,1.4,9.7
GENE347,1.0,1.4,9.7
GENE348,1.0,1.4,9.7
GENE349,1.0,1.4,9.7
GENE350,1.0,1.4,9.7
GENE351,1.0,1.4,9.7
GENE352,1.0,1.4,9.7
GENE353,1.0,1.4,9.7
GENE354,1.0,1.4,9.7
GENE355,1.0,1.4,9.7
GENE356,1.0,1.4,9.7
GENE357,1.0,1.4,9.7
GENE358,1.0,1.4,9.7
GENE359,1.0,1.4,9.7
GENE360,1.0,1.4,9.7
